City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
214,tazovskiy,45,RU,1556678606,93,67.47,78.7,5.82,11.07
215,lander,90,US,1556677923,92,42.83,-108.73,32.0,6.93
216,talnakh,20,RU,1556676000,84,69.49,88.39,3.2,2.24
217,georgetown,40,GY,1556676000,94,6.8,-58.16,77.0,4.7
218,monkey bay,0,MW,1556678607,74,-14.08,34.91,69.31,8.84
219,bambous virieux,40,MU,1556676000,57,-20.34,57.76,75.2,11.41
220,pevek,28,RU,1556678608,85,69.7,170.27,38.51,9.75
221,sosnovo-ozerskoye,0,RU,1556678608,26,52.53,111.54,60.47,9.28
222,sorland,100,NO,1556678608,79,67.67,12.69,39.99,20.27
223,samana,72,EC,1556678608,73,0.12,-76.97,73.09,2.1
224,kandalaksha,100,RU,1556678609,84,67.15,32.41,28.2,6.55
225,hambantota,20,LK,1556676600,94,6.12,81.12,82.4,11.41
226,qasigiannguit,1,GL,1556675400,34,68.82,-51.19,51.8,19.46
227,provideniya,100,RU,1556678609,100,64.42,-173.23,32.97,4.27
228,sayyan,14,YE,1556678610,56,15.17,44.32,69.74,2.86
229,susangerd,0,IR,1556676000,64,31.56,48.19,68.0,2.24
230,abu samrah,0,SY,1556678610,60,35.3,37.18,64.5,4.41
231,wajima,75,JP,1556676000,93,37.4,136.9,59.0,2.24
232,kruisfontein,0,ZA,1556678610,90,-34.0,24.73,57.19,5.3
233,hearst,33,CA,1556678611,70,49.69,-83.67,28.41,6.44
234,qaqortoq,75,GL,1556675400,31,60.72,-46.03,50.0,41.38
235,yekaterinovka,100,RU,1556678611,93,46.69,38.75,52.17,10.78
236,malappuram,75,IN,1556678355,83,11.04,76.08,87.01,4.7
237,nanortalik,100,GL,1556678611,58,60.14,-45.24,42.34,33.58
238,adrar,0,DZ,1556676000,17,27.87,-0.29,73.4,11.41
239,saskylakh,0,RU,1556678612,91,71.97,114.09,10.81,8.21
240,kenai,90,US,1556678516,50,60.55,-151.26,55.99,8.05
241,berlevag,100,NO,1556678613,66,70.86,29.09,29.2,15.82
242,portland,20,US,1556678611,12,45.52,-122.67,68.0,9.17
243,shatsk,71,UA,1556678613,96,51.49,23.92,43.19,5.41
244,synya,100,RU,1556678613,87,65.37,58.04,30.61,12.93
245,abha,40,SA,1556676000,45,18.22,42.5,66.2,5.28
246,sola,90,NO,1556678419,93,58.89,5.65,46.0,6.93
247,garmsar,0,IR,1556678614,37,35.22,52.34,55.16,3.91
248,banswada,86,IN,1556678614,11,18.38,77.88,98.81,12.75
249,ostrovnoy,100,RU,1556678614,74,68.05,39.51,26.79,12.5
250,alyangula,40,AU,1556676000,62,-13.85,136.42,87.8,12.75
251,hasaki,75,JP,1556678332,93,35.73,140.83,70.0,6.93
252,sur,0,OM,1556678615,22,22.57,59.53,89.47,2.06
253,port hardy,20,CA,1556676000,47,50.7,-127.42,55.4,16.11
254,mandera,87,ET,1556678615,64,3.94,41.86,82.29,7.02
255,hovd,75,NO,1556678464,87,63.83,10.7,45.0,9.17
256,nishihara,75,JP,1556678586,64,35.74,139.53,78.01,4.7
257,batemans bay,71,AU,1556678371,81,-35.71,150.18,69.01,4.0
258,manicore,100,BR,1556678616,97,-5.81,-61.3,74.62,1.74
259,miraflores,40,CO,1556678617,98,5.2,-73.14,53.54,3.06
260,beinamar,100,TD,1556678617,66,8.67,15.38,80.85,3.91
261,okhotsk,33,RU,1556678617,27,59.36,143.24,47.87,13.24
262,boksitogorsk,0,RU,1556678618,63,59.47,33.85,37.34,4.65
263,edd,0,ER,1556678618,28,13.93,41.69,87.6,3.47
264,bontang,18,ID,1556678618,54,0.12,117.47,91.5,3.0
265,oshawa,90,CA,1556678614,65,43.92,-78.86,48.0,6.17
266,karratha,0,AU,1556678619,13,-20.74,116.85,89.34,18.48
267,gaoua,100,BF,1556678619,57,10.33,-3.18,81.76,9.06
268,brae,100,GB,1556675400,93,60.4,-1.35,48.2,4.7
269,nara,75,JP,1556678492,88,34.68,135.8,66.0,2.24
270,anloga,20,GH,1556676000,88,5.79,0.9,82.4,10.29
271,ondjiva,0,AO,1556678620,45,-17.07,15.73,64.14,4.16
272,grand forks,90,US,1556677886,70,47.91,-97.06,42.8,3.36
273,vacha,0,RU,1556678621,58,55.8,42.77,37.41,4.34
274,banda aceh,70,ID,1556678621,72,5.56,95.32,84.97,6.96
275,dwarka,20,IN,1556677808,33,28.58,77.04,96.01,4.7
276,hithadhoo,99,MV,1556678622,79,-0.6,73.08,83.92,13.29
277,seoul,20,KR,1556677200,48,37.57,126.98,66.2,3.36
